id,anchor_yen,time_limit_sec,willingness_yen
1,860,46,750
2,820,18,1260
3,1060,48,980
4,1350,27,1170
5,1980,55,1110
6,2330,11,1670
7,1130,47,1110
8,1650,54,920
9,1550,26,1270
10,2040,48,1320
11,2470,24,1660
12,850,44,680
13,2570,28,1220
14,600,50,890
15,1980,15,1500
16,700,37,850
17,1800,21,1170
18,1730,13,1290
19,1800,39,1300
20,2450,22,1340
21,1840,60,1130
22,1600,54,1160
23,1560,23,1030
24,2460,57,880
25,1160,32,1400
26,2750,22,1340
27,580,28,760
28,720,44,1120
29,2260,47,1470
30,1450,48,830
31,1170,48,920
32,600,31,930
33,2770,45,1480
34,1600,31,1400
35,1610,31,1050
36,1160,60,1200
37,1660,56,1130
38,1190,35,1150
39,1030,22,1190
40,2530,53,1320
41,1060,17,1170
42,2960,52,1450
43,2960,35,1570
44,2770,19,1810
45,2820,50,1370
46,1410,38,870
47,1890,56,1040
48,1900,60,820
49,1840,29,1480
50,2600,50,1000
51,2640,23,1840
52,510,60,580
53,1170,23,930
54,2430,37,1320
55,1100,14,980
56,2940,35,1720
57,2240,40,1220
58,970,27,630
59,1270,28,1000
60,1240,17,1060
61,2200,52,1310
62,2850,60,1350
63,1870,47,1260
64,780,60,1110
65,1500,31,1050
66,530,40,900
67,1630,21,1170
68,770,55,950
69,2640,43,1120
70,1000,46,850
71,2710,50,1440
72,520,60,830
73,2640,60,1410
74,1360,49,1520
75,2850,14,2090
76,1080,12,1480
77,2540,28,1450
78,2150,11,1340
79,720,30,900
80,2710,47,1570
81,2010,19,1590
82,2780,13,1800
83,1740,25,1260
84,1000,31,1070
85,710,13,1360
86,1840,45,1410
87,2830,54,1350
88,2100,21,1320
89,870,37,1110
90,1120,42,1010
91,2640,32,1330
92,2330,21,1530
93,2440,31,1020
94,1400,46,740
95,830,36,1000
96,2850,33,2110
97,2510,53,1530
98,2250,13,1790
99,890,24,900
100,2590,49,1790
101,1180,45,980
102,560,51,530
103,2340,15,1170
104,2910,44,1300
105,1390,53,820
106,2270,54,980
107,560,12,810
108,640,23,960
109,960,11,1180
110,920,60,530
111,550,26,1310
112,2990,34,1700
113,2820,49,1640
114,2290,46,1460
115,1730,15,1560
116,2620,34,1470
117,1340,15,830
118,2140,23,1020
119,1060,30,1140
120,1300,25,1450
121,910,47,1030
122,720,32,830
123,1260,15,1060
124,2140,32,1720
125,1970,31,1070
126,2880,10,1770
127,2620,13,1420
128,1490,39,820
129,1280,20,1150
130,2480,36,1460
131,2510,18,1510
132,950,37,820
133,2460,43,1500
134,2070,39,1080
135,2250,56,680
136,1210,26,1320
137,1700,25,1600
138,660,21,1120
139,2870,49,1200
140,2780,50,1610
141,2740,12,1710
142,2950,60,1750
143,2960,11,1560
144,590,36,1160
145,2740,41,1620
146,750,49,900
147,2900,23,2020
148,2790,50,1560
149,1630,19,1500
150,890,53,1080
151,700,17,780
152,670,37,1160
153,990,57,1090
154,1090,26,1350
155,740,14,1030
156,1460,10,1200
157,1230,25,1170
158,1270,24,1320
159,1410,35,1410
160,550,26,770
161,2820,11,1500
162,2430,60,1410
163,2030,60,1650
164,2420,39,1430
165,1170,28,990
166,2450,29,1620
167,910,58,1020
168,2760,30,1530
169,2180,32,1190
170,2480,30,1580
171,910,19,950
172,670,59,520
173,2900,52,1620
174,990,45,890
175,1670,49,1090
176,2070,58,960
177,1890,44,1120
178,1650,42,1130
179,1950,37,1450
180,860,27,900
181,1560,52,1010
182,1450,37,1350
183,2670,59,1500
184,2050,39,1540
185,610,59,800
186,2700,24,1720
187,540,57,830
188,560,50,1180
189,630,26,870
190,2750,21,1480
191,990,34,1150
192,1470,46,1210
193,1930,51,870
194,2400,44,1040
195,1140,39,1190
196,1670,28,1150
197,600,28,1200
198,2220,38,1270
199,2950,52,1260
200,2450,13,1750
201,1610,20,1360
202,1090,16,1450
203,1610,28,1070
204,2720,35,1620
205,2920,42,1360
206,1980,50,1110
207,1350,24,990
208,2390,41,1430
209,680,18,760
210,2980,18,1790
211,2100,43,1100
212,1280,18,1350
213,790,40,620
214,2070,17,1180
215,1800,47,1400
216,2160,53,1370
217,1740,41,1080
218,1200,53,1170
219,1090,33,810
220,1360,50,1240
221,2330,29,1330
222,2940,31,2150
223,2680,19,1380
224,1690,32,1250
225,1730,60,1110
226,2170,40,1480
227,2800,37,1610
228,600,19,950
229,2480,50,1470
230,1460,38,1010
231,1100,58,950
232,1880,32,1420
233,2920,54,1390
234,3000,44,1640
235,2520,12,1800
236,1450,54,1050
237,1840,54,1120
238,1670,16,1300
239,1450,47,1250
240,1130,47,1430
241,1260,15,1180
242,1790,32,1220
243,1910,33,1220
244,1040,17,1090
245,1260,35,1510
246,2040,50,1180
247,720,53,890
248,2940,52,1380
249,1890,31,1490
250,2960,16,1820
251,2770,20,1650
252,1530,57,1080
253,2370,54,1350
254,1350,38,1450
255,800,21,840
256,2740,30,1520
257,1540,34,1510
258,2930,20,1350
259,2180,34,1400
260,880,26,1090
261,620,36,580
262,630,55,540
263,2550,10,1300
264,960,44,990
265,710,50,930
266,2600,46,1050
267,2640,46,1700
268,1350,20,1060
269,1990,55,1270
270,2910,46,1930
271,610,37,950
272,1330,19,1210
273,1210,29,1480
274,2340,20,1430
275,740,20,690
276,2070,21,1160
277,2820,37,1540
278,2980,41,1690
279,2850,59,1340
280,1460,42,1030
281,2710,42,1330
282,780,37,850
283,1970,31,1120
284,720,49,840
285,1700,46,1170
286,1170,16,1060
287,2810,10,1530
288,920,43,910
289,910,20,1370
290,1150,30,1010
291,700,19,1510
292,1730,15,1300
293,1340,45,1000
294,2500,45,1450
295,990,19,1010
296,2030,11,1500
297,550,35,760
298,1010,32,1060
299,2040,49,1300
300,830,22,880
