id,anchor_yen,time_limit_sec,anchor_condition,willingness_yen
1,2500,35,C_high,1640
2,2500,35,C_high,1380
3,1000,35,A_low,1140
4,1000,35,A_low,1020
5,1000,35,A_low,840
6,1750,35,B_middle,1140
7,1000,35,A_low,800
8,2500,35,C_high,1240
9,1000,35,A_low,710
10,1750,35,B_middle,1540
11,1000,35,A_low,1170
12,2500,35,C_high,1690
13,1000,35,A_low,750
14,1000,35,A_low,990
15,1750,35,B_middle,1240
16,1000,35,A_low,1300
17,1750,35,B_middle,1310
18,2500,35,C_high,1140
19,1750,35,B_middle,1170
20,1000,35,A_low,1110
21,1000,35,A_low,870
22,2500,35,C_high,1540
23,2500,35,C_high,1730
24,1750,35,B_middle,1150
25,2500,35,C_high,1690
26,1000,35,A_low,1290
27,2500,35,C_high,1550
28,1000,35,A_low,1060
29,2500,35,C_high,1590
30,1000,35,A_low,1130
31,1750,35,B_middle,1710
32,1000,35,A_low,640
33,2500,35,C_high,1520
34,1000,35,A_low,1080
35,2500,35,C_high,1170
36,2500,35,C_high,1370
37,1000,35,A_low,760
38,2500,35,C_high,1250
39,2500,35,C_high,1510
40,2500,35,C_high,1180
41,1750,35,B_middle,1100
42,1000,35,A_low,930
43,1750,35,B_middle,1120
44,1000,35,A_low,990
45,1000,35,A_low,700
46,1000,35,A_low,800
47,1750,35,B_middle,1320
48,1750,35,B_middle,1170
49,2500,35,C_high,1590
50,1750,35,B_middle,1030
51,1750,35,B_middle,1280
52,2500,35,C_high,1340
53,1750,35,B_middle,1330
54,2500,35,C_high,1190
55,1750,35,B_middle,1220
56,2500,35,C_high,1480
57,2500,35,C_high,1060
58,2500,35,C_high,1370
59,2500,35,C_high,1350
60,1000,35,A_low,830
61,1000,35,A_low,1220
62,1750,35,B_middle,1550
63,1000,35,A_low,900
64,1000,35,A_low,770
65,2500,35,C_high,1350
66,1750,35,B_middle,1190
67,2500,35,C_high,1680
68,2500,35,C_high,1200
69,1000,35,A_low,1200
70,1000,35,A_low,1380
71,1000,35,A_low,680
72,1750,35,B_middle,940
73,2500,35,C_high,1640
74,2500,35,C_high,1510
75,2500,35,C_high,1260
76,1000,35,A_low,990
77,1000,35,A_low,1330
78,2500,35,C_high,1520
79,1000,35,A_low,1070
80,1000,35,A_low,970
81,1000,35,A_low,920
82,1000,35,A_low,1320
83,1000,35,A_low,1200
84,1750,35,B_middle,1310
85,1750,35,B_middle,1210
86,1750,35,B_middle,1180
87,2500,35,C_high,1400
88,2500,35,C_high,1760
89,1000,35,A_low,1000
90,2500,35,C_high,1760
91,1750,35,B_middle,1020
92,1000,35,A_low,1030
93,1750,35,B_middle,1200
94,2500,35,C_high,1590
95,2500,35,C_high,1070
96,1000,35,A_low,880
97,2500,35,C_high,1280
98,1750,35,B_middle,1570
99,1750,35,B_middle,1390
100,2500,35,C_high,1150
101,1000,35,A_low,1210
102,1750,35,B_middle,1300
103,1000,35,A_low,1340
104,1750,35,B_middle,1220
105,1750,35,B_middle,1260
106,2500,35,C_high,1640
107,1750,35,B_middle,1230
108,1000,35,A_low,1390
109,1750,35,B_middle,1400
110,1000,35,A_low,1000
111,1000,35,A_low,1150
112,1000,35,A_low,1110
113,1750,35,B_middle,1520
114,1750,35,B_middle,1310
115,2500,35,C_high,1440
116,1000,35,A_low,790
117,1000,35,A_low,1120
118,1750,35,B_middle,1380
119,2500,35,C_high,1350
120,2500,35,C_high,1750
121,1000,35,A_low,1130
122,2500,35,C_high,950
123,1750,35,B_middle,1090
124,1000,35,A_low,1050
125,2500,35,C_high,1700
126,2500,35,C_high,1880
127,1000,35,A_low,650
128,2500,35,C_high,1300
129,1000,35,A_low,1180
130,1750,35,B_middle,1340
131,1000,35,A_low,770
132,1000,35,A_low,470
