id,anchor_yen,time_limit_sec,high_anchor,willingness_yen
1,2500,35,1,1560
2,1000,35,0,810
3,2500,35,1,1180
4,2500,35,1,1640
5,1000,35,0,1230
6,2500,35,1,1350
7,2500,35,1,1490
8,2500,35,1,1760
9,2500,35,1,1690
10,1000,35,0,1030
11,2500,35,1,1270
12,1000,35,0,1400
13,2500,35,1,930
14,1000,35,0,810
15,1000,35,0,880
16,2500,35,1,1410
17,1000,35,0,1050
18,1000,35,0,990
19,1000,35,0,1130
20,1000,35,0,940
21,2500,35,1,1360
22,2500,35,1,1470
23,2500,35,1,1600
24,2500,35,1,1610
25,2500,35,1,1300
26,1000,35,0,890
27,1000,35,0,1020
28,1000,35,0,1080
29,1000,35,0,1270
30,1000,35,0,1020
31,1000,35,0,1120
32,2500,35,1,1170
33,1000,35,0,1210
34,1000,35,0,950
35,1000,35,0,940
36,1000,35,0,1010
37,2500,35,1,1900
38,2500,35,1,1700
39,1000,35,0,1130
40,1000,35,0,820
41,2500,35,1,1190
42,1000,35,0,960
43,1000,35,0,960
44,2500,35,1,1650
45,2500,35,1,1340
46,2500,35,1,1510
47,1000,35,0,1010
48,1000,35,0,1290
49,1000,35,0,910
50,1000,35,0,1270
51,1000,35,0,1280
52,2500,35,1,1470
53,1000,35,0,1450
54,1000,35,0,1000
55,2500,35,1,1710
56,1000,35,0,1060
57,1000,35,0,1180
58,2500,35,1,1460
59,2500,35,1,1510
60,2500,35,1,1540
61,2500,35,1,1930
62,2500,35,1,1380
63,2500,35,1,1300
64,2500,35,1,1470
65,2500,35,1,1070
66,1000,35,0,1130
67,1000,35,0,800
68,1000,35,0,1180
69,1000,35,0,780
70,2500,35,1,1730
71,2500,35,1,1420
72,1000,35,0,1110
73,2500,35,1,1700
74,2500,35,1,1700
75,2500,35,1,1220
76,2500,35,1,1460
77,2500,35,1,1180
78,2500,35,1,1590
79,2500,35,1,1660
80,1000,35,0,1190
81,1000,35,0,1160
82,2500,35,1,1640
83,2500,35,1,1330
84,1000,35,0,1200
85,1000,35,0,1090
86,1000,35,0,970
87,1000,35,0,1070
88,1000,35,0,1190
89,2500,35,1,1310
90,1000,35,0,940
91,2500,35,1,1300
92,2500,35,1,1470
93,1000,35,0,1040
94,1000,35,0,1020
95,1000,35,0,860
96,1000,35,0,1080
97,2500,35,1,1680
98,1000,35,0,1260
99,2500,35,1,1560
100,2500,35,1,980
101,1000,35,0,840
102,2500,35,1,1030
103,2500,35,1,1560
104,1000,35,0,1140
105,1000,35,0,940
106,1000,35,0,770
107,2500,35,1,1580
108,1000,35,0,780
109,2500,35,1,1680
110,2500,35,1,1700
111,2500,35,1,1440
112,2500,35,1,1160
113,2500,35,1,1180
114,1000,35,0,920
115,2500,35,1,1340
116,2500,35,1,1660
117,1000,35,0,760
118,1000,35,0,980
119,2500,35,1,1340
120,1000,35,0,1020
121,1000,35,0,1210
122,2500,35,1,1910
123,1000,35,0,900
124,2500,35,1,1730
125,2500,35,1,1540
126,2500,35,1,1260
127,1000,35,0,1470
128,2500,35,1,1720
129,2500,35,1,1280
130,2500,35,1,1410
131,2500,35,1,1470
132,1000,35,0,1130
133,2500,35,1,1910
134,1000,35,0,760
135,2500,35,1,1380
136,2500,35,1,1360
137,2500,35,1,960
138,2500,35,1,1450
139,2500,35,1,1210
140,1000,35,0,810
141,2500,35,1,1550
142,2500,35,1,1280
143,1000,35,0,1100
144,1000,35,0,910
145,2500,35,1,1780
146,1000,35,0,910
147,2500,35,1,1870
148,2500,35,1,1580
149,1000,35,0,1020
150,1000,35,0,870
151,1000,35,0,950
152,1000,35,0,1260
153,1000,35,0,890
154,1000,35,0,970
155,1000,35,0,1050
156,2500,35,1,1480
157,2500,35,1,1500
158,2500,35,1,1270
159,1000,35,0,630
160,2500,35,1,1040
161,1000,35,0,1280
162,1000,35,0,1140
163,1000,35,0,1120
164,1000,35,0,1020
165,1000,35,0,890
166,2500,35,1,1370
167,2500,35,1,1440
168,1000,35,0,940
169,2500,35,1,1580
170,1000,35,0,1100
171,2500,35,1,1490
172,1000,35,0,800
173,2500,35,1,1500
174,1000,35,0,790
175,2500,35,1,1490
176,2500,35,1,1190
177,1000,35,0,1030
178,2500,35,1,1420
179,1000,35,0,1180
180,1000,35,0,960
181,2500,35,1,1580
182,1000,35,0,980
183,1000,35,0,1100
184,1000,35,0,770
185,2500,35,1,1300
186,1000,35,0,1080
187,1000,35,0,1050
188,1000,35,0,1020
189,2500,35,1,1330
190,2500,35,1,1510
191,2500,35,1,1610
192,1000,35,0,820
193,2500,35,1,1320
194,1000,35,0,690
195,1000,35,0,700
196,2500,35,1,1750
197,1000,35,0,870
198,1000,35,0,1000
199,2500,35,1,1610
200,2500,35,1,1300
