id,region,age,education_years,income,gender,employment_status,marital_status,household_size,weekly_work_hours,support_1,support_2,support_3,support_4,support_5,stress_1,stress_2,stress_3,stress_4,stress_5,life_satisfaction_1,life_satisfaction_2,life_satisfaction_3,life_satisfaction_4,life_satisfaction_5
1,A,49,16,689,male,regular,married,3,32,3,4,5,4,5,5,5,5,4,2,2,3,3,3,2
2,A,20,12,145,male,nonregular,never_married,1,25,3,2,1,2,5,3,5,5,5,1,1,2,1,1,5
3,A,53,12,774,female,regular,married,3,41,3,3,2,3,4,2,4,2,2,2,4,4,3,3,2
4,B,77,16,345,female,nonregular,never_married,1,30,4,4,5,4,2,4,2,3,4,3,3,2,2,4,3
5,A,58,14,116,male,nonregular,married,4,23,4,4,4,3,2,2,2,1,1,5,4,4,5,4,2
6,B,44,9,0,female,not_employed,never_married,2,0,1,1,3,2,3,4,4,3,2,2,2,4,4,3,2
7,B,70,12,131,male,not_employed,divorced,1,0,1,2,2,4,2,1,2,2,2,5,4,4,4,5,3
8,A,30,12,927,female,self_employed,married,3,21,3,3,3,3,4,5,4,3,4,3,3,3,2,3,3
9,B,73,16,134,female,self_employed,married,3,28,2,3,2,4,4,3,2,5,3,3,3,3,3,1,2
10,B,57,16,189,male,nonregular,married,2,16,5,3,3,5,3,3,4,4,4,1,3,4,5,4,3
11,A,42,16,538,female,regular,married,5,45,3,3,3,2,4,3,5,3,3,3,3,2,3,4,4
12,B,42,14,361,female,self_employed,never_married,1,70,3,4,4,3,3,2,4,1,3,4,3,3,3,5,3
13,A,25,9,444,male,regular,never_married,1,39,3,2,4,2,1,4,4,2,3,3,3,3,1,3,4
14,A,61,12,285,female,regular,widowed,2,33,3,3,4,5,2,4,4,3,3,2,4,2,3,4,4
15,A,37,14,86,female,not_employed,married,2,0,2,3,3,2,3,3,3,2,3,2,3,4,4,3,4
16,B,48,16,217,female,nonregular,married,4,26,4,2,3,3,5,3,3,5,5,1,4,1,1,3,2
17,A,33,12,326,female,regular,divorced,1,42,2,4,2,3,3,4,3,4,4,1,2,1,1,1,4
18,B,44,16,156,female,nonregular,divorced,3,25,3,5,4,4,1,1,3,2,2,4,5,5,4,5,1
19,B,60,12,410,male,self_employed,married,3,20,1,1,1,1,3,4,5,3,3,4,2,1,2,3,4
20,A,68,16,177,male,self_employed,divorced,1,55,4,4,2,4,1,1,1,1,1,5,2,4,3,5,1
21,B,29,14,602,male,regular,never_married,1,42,2,5,2,3,2,3,4,3,5,3,2,2,2,2,5
22,A,76,16,147,male,not_employed,divorced,1,0,4,5,5,5,2,2,2,2,2,3,3,4,5,4,1
23,A,65,14,464,female,regular,married,4,39,3,2,4,4,4,3,4,3,4,5,5,5,4,5,3
24,B,68,14,0,female,not_employed,never_married,1,0,2,2,2,2,4,3,2,2,3,4,2,3,3,2,3
25,A,65,16,564,male,regular,never_married,3,38,3,3,3,3,3,4,2,4,5,3,3,3,4,3,1
26,B,54,14,456,female,nonregular,never_married,1,30,3,2,4,3,3,3,2,2,4,3,4,3,3,2,2
27,A,75,16,0,male,not_employed,widowed,1,0,5,5,5,5,1,1,2,2,2,4,5,5,5,5,1
28,B,49,12,305,female,self_employed,married,6,15,2,3,3,2,2,4,2,3,3,4,2,1,3,3,4
29,B,41,9,231,female,nonregular,widowed,1,13,3,3,3,2,3,3,4,3,2,2,2,1,1,2,2
30,B,25,9,127,female,nonregular,never_married,2,15,3,2,2,3,3,2,3,3,3,5,3,4,3,3,3
31,B,75,9,252,female,not_employed,married,2,0,3,2,4,4,2,4,4,3,3,4,4,2,3,3,3
32,A,61,16,297,female,regular,married,4,32,3,4,4,3,4,2,1,2,2,4,5,4,4,4,3
33,A,33,14,467,female,regular,married,2,48,3,2,2,2,4,2,3,2,3,3,3,2,2,2,4
34,B,76,12,253,female,not_employed,married,2,0,4,1,3,2,3,5,3,4,4,3,3,2,2,2,3
35,B,23,16,467,female,regular,married,4,32,4,3,2,4,5,3,3,3,3,4,2,2,4,3,1
36,A,59,12,484,male,regular,married,2,39,4,4,4,5,2,3,2,2,3,2,3,4,5,4,4
37,B,65,14,345,female,regular,widowed,1,37,5,3,5,4,2,2,3,1,2,3,5,5,4,5,2
38,A,36,9,80,male,nonregular,married,2,32,2,1,1,1,5,2,2,3,2,3,1,1,2,1,5
39,A,75,16,400,male,regular,divorced,3,44,3,5,3,4,3,3,2,2,1,4,4,3,5,4,1
40,B,77,18,120,male,nonregular,married,4,14,2,4,2,4,1,3,2,2,3,2,4,3,5,4,5
41,A,48,16,0,male,not_employed,married,2,0,4,2,4,4,2,3,3,5,3,2,5,4,4,5,2
42,A,24,14,415,female,regular,never_married,3,38,2,2,1,1,5,3,2,3,4,2,3,2,2,3,3
43,A,28,16,378,male,regular,never_married,3,39,4,3,3,3,4,2,3,2,3,4,3,5,3,1,2
44,B,48,16,0,male,not_employed,never_married,1,0,1,1,2,2,4,3,3,4,4,3,2,1,4,3,3
45,B,74,9,126,male,nonregular,married,4,19,3,3,1,2,5,5,5,5,5,2,2,2,3,2,3
46,B,59,9,80,male,not_employed,married,3,0,1,3,3,3,2,3,4,3,4,3,1,4,2,2,3
47,B,40,14,0,male,not_employed,married,5,0,2,3,4,1,3,3,2,4,2,3,2,2,4,2,4
48,A,75,9,212,female,not_employed,married,2,0,3,3,3,2,4,3,3,2,4,4,4,4,4,4,2
49,B,38,18,154,female,nonregular,married,2,18,5,4,4,3,1,3,2,2,3,4,3,4,3,3,2
50,A,43,12,205,male,nonregular,married,3,28,3,1,2,2,4,3,4,4,4,3,3,3,3,2,3
51,B,54,14,1024,female,self_employed,married,5,45,3,3,4,3,3,3,3,5,4,2,1,1,1,1,4
52,B,36,12,377,female,regular,married,2,32,3,3,2,3,3,1,2,1,1,5,5,4,5,5,2
53,A,53,9,435,female,regular,married,3,41,2,2,2,2,3,2,4,2,2,4,4,4,4,4,3
